title, kind, keyword
My Faraway Bride, movie, bollywood
Game Over ), movie, bollywood
Janani, movie, bollywood
Yamla Pagla Deewana, movie, bollywood
Dharam Veer, movie, bollywood
Mala Kahich Problem Nahi, movie, bollywood
The Wolf of Wall Street, movie, business
Goodfellas, movie, business
Gone with the Wind, movie, business
The Godfather: Part II, movie, business
Overboard, movie, business
Drive ), movie, business
There Will Be Blood, movie, business
Moneyball, movie, business
Legend ), movie, business
Sorry to Bother You, movie, business
Office Space, movie, business
The Other Guys, movie, business
Meet Joe Black, movie, business
Inside Man, movie, business
Citizen Kane, movie, business
The Founder, movie, business
Okja, movie, business
Network, movie, business
It's a Wonderful Life, movie, business
Captain Phillips, movie, business
Unsane, movie, business
You've Got Mail, movie, business
Up in the Air ), movie, business
Glengarry Glen Ross, movie, business
Trading Places, movie, business
Wall Street, movie, business
Sunshine Cleaning, movie, business
The Insider, movie, business
The Big Valley (1965–1969)), movie, business
The King of Comedy, movie, business
Working Girl, movie, business
Disclosure, movie, business
Extract, movie, business
Giant, movie, business
Wall Street: Money Never Sleeps, movie, business
Michael Clayton, movie, business
RoboCop 2, movie, business
Johnny Mnemonic, movie, business
The Believer, movie, business
The Boss Baby: Back in Business (2018–), movie, business
Jobs, movie, business
Moscow Noir (2018–), movie, business
9 to 5, movie, business
Six Degrees of Separation, movie, business
A Hologram for the King, movie, business
The Boss, movie, business
Night Shift, movie, business
Elizabethtown, movie, business
Paranoia ), movie, business
Thirtysomething (1987–1991)), movie, business
Baby Driver, movie, caper
The Spy Who Dumped Me, movie, caper
Ocean's Eight, movie, caper
Ant-Man and the Wasp, movie, caper
Drive ), movie, caper
Ant-Man, movie, caper
The Man from U.N.C.L.E., movie, caper
Sucker Punch, movie, caper
Logan Lucky, movie, caper
Mission: Impossible - Ghost Protocol, movie, caper
Ocean's Eleven, movie, caper
Inside Man, movie, caper
Focus ), movie, caper
The Pink Panther, movie, caper
Now You See Me 2, movie, caper
xXx: Return of Xander Cage, movie, caper
The Italian Job, movie, caper
Masterminds ), movie, caper
Ocean's Twelve, movie, caper
Ocean's Thirteen, movie, caper
Ronin, movie, caper
The Sting, movie, caper
Pain & Gain, movie, caper
The Bank Job, movie, caper
North by Northwest, movie, caper
Going in Style, movie, caper
Sexy Beast, movie, caper
The Saint, movie, caper
The Score, movie, caper
Out of Sight, movie, caper
White Men Can't Jump, movie, caper
Smokey and the Bandit, movie, caper
Kelly's Heroes, movie, caper
The Thomas Crown Affair, movie, caper
Heartbreakers, movie, caper
The Pink Panther, movie, caper
Mortdecai, movie, caper
Keeping Up with the Joneses, movie, caper
Dirty Rotten Scoundrels, movie, caper
Three Kings, movie, caper
The Three Stooges, movie, caper
Overdrive, movie, caper
Tower Heist, movie, caper
The Killing, movie, caper
Bottle Rocket, movie, caper
The Thomas Crown Affair, movie, caper
1941, movie, caper
Entrapment, movie, caper
The Italian Job, movie, caper
The Ladykillers, movie, caper
Glee (2009–2015)), movie, competition
Super 30, movie, competition
The Hunger Games, movie, competition
Ready Player One, movie, competition
Teen Wolf (2011–2017)), movie, competition
The Hunger Games: Catching Fire, movie, competition
Black Swan, movie, competition
The Social Network, movie, competition
"I\, Tonya", movie, competition
Jumanji, movie, competition
Just Go with It, movie, competition
Rocky, movie, competition
Ex Machina, movie, competition
A Knight's Tale, movie, competition
There Will Be Blood, movie, competition
Molly's Game, movie, competition
Pitch Perfect, movie, competition
Talladega Nights: The Ballad of Ricky Bobby, movie, competition
Top Gear (2002–), movie, competition
Twister ), movie, competition
What Men Want, movie, competition
How to Train Your Dragon, movie, competition
Vacation ), movie, competition
"Monsters\, Inc.", movie, competition
The League ), movie, competition
Revenge of the Nerds, movie, competition
Dodgeball: A True Underdog Story, movie, competition
The Brady Bunch (1969–1974)), movie, competition
Escape the Night (2016–), movie, competition
Ender's Game, movie, competition
8 Mile, movie, competition
October Sky, movie, competition
Cars 3, movie, competition
Dogtooth, movie, competition
Okja, movie, competition
Percy Jackson & the Olympians: The Lightning Thief, movie, competition
The Longest Ride, movie, competition
The Italian Job, movie, competition
Step by Step (1991–1998)), movie, competition
Ferdinand, movie, competition
All About Eve, movie, competition
Billy Madison, movie, competition
Pokémon (1997–), movie, competition
Curfew (2019–), movie, competition
Dirty Grandpa, movie, competition
You've Got Mail, movie, competition
Bride Wars, movie, competition
Raging Bull, movie, competition
UnREAL (2015–2018)), movie, competition
Bring It On, movie, competition
Dark (2017–), movie, conspiracy
The 100 (2014–), movie, conspiracy
The Expanse (2015–), movie, conspiracy
Godzilla: King of the Monsters, movie, conspiracy
Blade Runner 2049, movie, conspiracy
Prison Break (2005–2017)), movie, conspiracy
Aquaman, movie, conspiracy
The Hateful Eight, movie, conspiracy
Child's Play, movie, conspiracy
Watchmen, movie, conspiracy
Tom Clancy's Jack Ryan (2018–), movie, conspiracy
Mr. Robot (2015–), movie, conspiracy
The Wolf of Wall Street, movie, conspiracy
Black Panther, movie, conspiracy
Batman Begins, movie, conspiracy
The X-Files (1993–), movie, conspiracy
The Punisher (2017–2019)), movie, conspiracy
The Spy Who Dumped Me, movie, conspiracy
Robin Hood, movie, conspiracy
Red Sparrow, movie, conspiracy
Brightburn, movie, conspiracy
American Gods (2017–), movie, conspiracy
Star Trek: Deep Space Nine (1993–1999)), movie, conspiracy
The Princess Bride, movie, conspiracy
Snowfall (2017–), movie, conspiracy
The Dark Knight Rises, movie, conspiracy
Iron Man, movie, conspiracy
Baywatch, movie, conspiracy
Under the Silver Lake, movie, conspiracy
Sacred Games (2018–), movie, conspiracy
The Tudors (2007–2010)), movie, conspiracy
Zootopia, movie, conspiracy
Suspiria ), movie, conspiracy
Goodfellas, movie, conspiracy
Taboo (2017–), movie, conspiracy
Widows, movie, conspiracy
Mortal Engines, movie, conspiracy
Jurassic World: Fallen Kingdom, movie, conspiracy
Valerian and the City of a Thousand Planets, movie, conspiracy
24 (2001–2010)), movie, conspiracy
The Witch, movie, conspiracy
Captain America: The Winter Soldier, movie, conspiracy
The Hunger Games: Catching Fire, movie, conspiracy
Divergent, movie, conspiracy
Eyes Wide Shut, movie, conspiracy
Hunter Killer, movie, conspiracy
Sense8 (2015–2018)), movie, conspiracy
Logan, movie, conspiracy
Iron Man 3, movie, conspiracy
Fringe (2008–2013)), movie, conspiracy
Peaky Blinders (2013–), movie, corruption
Breaking Bad (2008–2013)), movie, corruption
The Expanse (2015–), movie, corruption
Pulp Fiction, movie, corruption
City on a Hill (2019–), movie, corruption
The Sopranos (1999–2007)), movie, corruption
Gotham (2014–2019)), movie, corruption
The Wire (2002–2008)), movie, corruption
The Shawshank Redemption, movie, corruption
The Dark Knight, movie, corruption
Bones (2005–2017)), movie, corruption
The Wolf of Wall Street, movie, corruption
Dark Phoenix, movie, corruption
Narcos (2015–2017)), movie, corruption
Batman Begins, movie, corruption
The Punisher (2017–2019)), movie, corruption
Robin Hood, movie, corruption
Daredevil (2015–2018)), movie, corruption
Red Sparrow, movie, corruption
The Lord of the Rings: The Fellowship of the Ring, movie, corruption
Gladiator, movie, corruption
Harry Potter and the Deathly Hallows: Part 2, movie, corruption
Alien, movie, corruption
Jett (2019–), movie, corruption
Snowfall (2017–), movie, corruption
The Departed, movie, corruption
Baywatch, movie, corruption
The Good Wife (2009–2016)), movie, corruption
CSI: Crime Scene Investigation (2000–2015)), movie, corruption
Goodfellas, movie, corruption
Taboo (2017–), movie, corruption
Wonder Woman, movie, corruption
Widows, movie, corruption
Sin City, movie, corruption
Requiem for a Dream, movie, corruption
Star Wars: The Last Jedi, movie, corruption
Valerian and the City of a Thousand Planets, movie, corruption
The Highwaymen, movie, corruption
The Lord of the Rings: The Return of the King, movie, corruption
Banshee (2013–2016)), movie, corruption
Eyes Wide Shut, movie, corruption
Twilight ), movie, corruption
Narcos: Mexico (2018–), movie, corruption
Drop Dead Gorgeous, movie, corruption
Logan, movie, corruption
Boardwalk Empire (2010–2014)), movie, corruption
Fringe (2008–2013)), movie, corruption
Split Second, movie, corruption
Once Upon a Time in America, movie, corruption
The Legend of Tarzan, movie, corruption
Once Upon a Time ... in Hollywood, movie, cult
Midsommar ), movie, cult
Hereditary, movie, cult
Bad Times at the El Royale, movie, cult
Reservoir Dogs, movie, cult
Get Out ), movie, cult
The X-Files (1993–), movie, cult
Buffy the Vampire Slayer (1997–2003)), movie, cult
The Shining, movie, cult
Under the Silver Lake, movie, cult
Suspiria ), movie, cult
Apocalypse Now, movie, cult
Stargate SG-1 (1997–2007)), movie, cult
From Dusk Till Dawn, movie, cult
Eyes Wide Shut, movie, cult
Ghostbusters, movie, cult
Mother!, movie, cult
Split Second, movie, cult
Downsizing, movie, cult
X-Men: Apocalypse, movie, cult
Hot Fuzz, movie, cult
Bright ), movie, cult
Mandy, movie, cult
Annabelle ), movie, cult
Mrs. Doubtfire, movie, cult
The Ritual ), movie, cult
Strange Angel (2018–), movie, cult
Indiana Jones and the Temple of Doom, movie, cult
Unbreakable Kimmy Schmidt (2015–2019)), movie, cult
Shaun of the Dead, movie, cult
Apostle, movie, cult
The Master, movie, cult
Poltergeist, movie, cult
Cloverfield, movie, cult
Octopussy, movie, cult
The Rocky Horror Picture Show, movie, cult
The Wicker Man, movie, cult
Edward Scissorhands, movie, cult
Scooby-Doo, movie, cult
The Village, movie, cult
The Beach ), movie, cult
The Endless ), movie, cult
Sex and Zen, movie, cult
Rosemary's Baby, movie, cult
The Devil's Rejects, movie, cult
Martyrs, movie, cult
The Librarians (2014–2018)), movie, cult
Friday the 13th, movie, cult
National Lampoon's Animal House, movie, cult
The Wraith, movie, cult
Alita: Battle Angel, movie, cyberpunk
Blade Runner, movie, cyberpunk
Blade Runner 2049, movie, cyberpunk
Avatar, movie, cyberpunk
Altered Carbon (2018–), movie, cyberpunk
The Matrix, movie, cyberpunk
Inception, movie, cyberpunk
Ready Player One, movie, cyberpunk
Alien, movie, cyberpunk
Terminator 2: Judgment Day, movie, cyberpunk
The Terminator, movie, cyberpunk
Upgrade, movie, cyberpunk
The Hunger Games: Catching Fire, movie, cyberpunk
The Fifth Element, movie, cyberpunk
Divergent, movie, cyberpunk
The Hunger Games: Mockingjay - Part 2, movie, cyberpunk
Logan, movie, cyberpunk
Split Second, movie, cyberpunk
Minority Report, movie, cyberpunk
Oblivion ), movie, cyberpunk
The Hunger Games: Mockingjay - Part 1, movie, cyberpunk
Terminator Genisys, movie, cyberpunk
Ghost in the Shell, movie, cyberpunk
The Matrix Reloaded, movie, cyberpunk
Total Recall, movie, cyberpunk
Maze Runner: The Death Cure, movie, cyberpunk
X-Men: Days of Future Past, movie, cyberpunk
TRON: Legacy, movie, cyberpunk
Looper, movie, cyberpunk
Terminator Salvation, movie, cyberpunk
The Matrix Revolutions, movie, cyberpunk
RoboCop, movie, cyberpunk
In Time, movie, cyberpunk
Dredd, movie, cyberpunk
A.I. Artificial Intelligence, movie, cyberpunk
The Running Man, movie, cyberpunk
Elysium ), movie, cyberpunk
The Fly, movie, cyberpunk
Akira, movie, cyberpunk
They Live, movie, cyberpunk
Demolition Man, movie, cyberpunk
Insurgent, movie, cyberpunk
Brazil, movie, cyberpunk
Super Mario Bros., movie, cyberpunk
Total Recall ), movie, cyberpunk
Mute ), movie, cyberpunk
Maze Runner: The Scorch Trials, movie, cyberpunk
Equilibrium, movie, cyberpunk
The Cell, movie, cyberpunk
Assassin's Creed, movie, cyberpunk
Avengers: Endgame, movie, dystopia
The Handmaid's Tale (2017–), movie, dystopia
Game of Thrones (2011–2019)), movie, dystopia
Alita: Battle Angel, movie, dystopia
Black Mirror (2011–), movie, dystopia
Blade Runner, movie, dystopia
Blade Runner 2049, movie, dystopia
Interstellar, movie, dystopia
Watchmen, movie, dystopia
Snowpiercer (2020–), movie, dystopia
Attack on Titan (2013–), movie, dystopia
The Man in the High Castle (2015–), movie, dystopia
The Matrix, movie, dystopia
Snowpiercer, movie, dystopia
Mad Max: Fury Road, movie, dystopia
The Hunger Games, movie, dystopia
A Quiet Place, movie, dystopia
Ready Player One, movie, dystopia
Fight Club, movie, dystopia
Terminator 2: Judgment Day, movie, dystopia
Solo: A Star Wars Story, movie, dystopia
Bird Box, movie, dystopia
The Terminator, movie, dystopia
Mortal Engines, movie, dystopia
Upgrade, movie, dystopia
A Clockwork Orange, movie, dystopia
The Handmaid's Tale, movie, dystopia
Captive State, movie, dystopia
The Hunger Games: Catching Fire, movie, dystopia
The Fifth Element, movie, dystopia
Divergent, movie, dystopia
The Dark Tower, movie, dystopia
The Hunger Games: Mockingjay - Part 2, movie, dystopia
Logan, movie, dystopia
Firefly (2002–2003)), movie, dystopia
Split Second, movie, dystopia
Hotel Artemis, movie, dystopia
Black Swan, movie, dystopia
The Book of Eli, movie, dystopia
Oblivion ), movie, dystopia
The Hunger Games: Mockingjay - Part 1, movie, dystopia
The Time Machine, movie, dystopia
V for Vendetta, movie, dystopia
Ghost in the Shell, movie, dystopia
The Matrix Reloaded, movie, dystopia
Total Recall, movie, dystopia
The Truman Show, movie, dystopia
The Lobster, movie, dystopia
Maze Runner: The Death Cure, movie, dystopia
Colony (2016–2018)), movie, dystopia
Avengers: Endgame, movie, epic
The Lion King, movie, epic
Thor: Ragnarok, movie, epic
Avengers: Infinity War, movie, epic
The Dark Knight, movie, epic
Interstellar, movie, epic
Watchmen, movie, epic
Avatar, movie, epic
The Godfather, movie, epic
Harry Potter and the Sorcerer's Stone, movie, epic
Titanic, movie, epic
Apollo 13 ), movie, epic
Snowpiercer, movie, epic
Baby Driver, movie, epic
Spartacus (2010–2013)), movie, epic
The Right Stuff, movie, epic
Kill Bill: Vol. 1, movie, epic
Ready Player One, movie, epic
The Lord of the Rings: The Fellowship of the Ring, movie, epic
The Dark Knight Rises, movie, epic
It, movie, epic
Jurassic Park, movie, epic
2001: A Space Odyssey, movie, epic
Thor, movie, epic
Schindler's List, movie, epic
Goodfellas, movie, epic
Dunkirk, movie, epic
Wonder Woman, movie, epic
Mortal Engines, movie, epic
Captain America: The First Avenger, movie, epic
Star Wars: The Last Jedi, movie, epic
Heat, movie, epic
Saving Private Ryan, movie, epic
The Lord of the Rings: The Return of the King, movie, epic
300, movie, epic
The Fifth Element, movie, epic
Rogue One: A Star Wars Story, movie, epic
Star Wars: Episode IV - A New Hope, movie, epic
